Name,Map,MapSize,Gamemode,Region,Players,QueuePlayers,MaxPlayers,Hz,DayNight,IsOfficial,HasPassword,AntiCheat,Build,DateTimestamp
194-BX-00,Salhan,Ultra,CONQ,Australia_Central,253,1,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
190-Y-00,Wakistan,Ultra,CONQ,Brazil_Central,219,4,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
188-LC-03,Isle,Ultra,CONQ,America_Central,246,8,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
188-L8-01,Azagor,Medium,DOMI,America_Central,62,2,64,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
174-JB-00,District,Ultra,CONQ,America_Central,254,0,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
188-LD-01,Frugis,Ultra,CONQ,America_Central,232,22,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
174-JM-00,Frugis,Medium,RUSH,America_Central,64,0,64,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
185-LV-01,Frugis,Ultra,CONQ,America_Central,251,3,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
177-2D-02,Dustydew,Medium,DOMI,Brazil_Central,59,1,64,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
177-8Z-00,SandySunset,Big,CONQ,Europe_Central,125,3,128,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
194-JJ-02,WineParadise,Big,CONQ,America_Central,128,0,128,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
186-L7-00,River,Big,DOMI,America_Central,128,0,128,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
[TLR] Battlebit League #1 | discord.gg/tlr,Azagor,Small,TDM,Europe_Central,0,0,32,240,Day,False,True,EAC,Production 2.0.2,2023-08-11 00:05:09
188-Z-00,Basra,Ultra,CONQ,America_Central,254,0,254,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
172-L4-00,OilDunes,Medium,CONQ,Japan_Central,64,0,64,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
188-LP-01,Salhan,Big,DOMI,America_Central,125,3,128,60,Day,True,False,EAC,Production 2.0.2,2023-08-11 00:05:09
